2024-10-28 00:05:12 WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' is not supported]
2024-10-28 00:05:31 WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'POST' is not supported]
2024-10-28 00:18:59 INFO  u.e.p.I.Service.ProfesorService - Creando profesor: Oswaldo, Especialidad: Matematico, Nivel: SECUNDARIA a las Mon Oct 28 00:18:59 PET 2024
2024-10-28 00:19:00 INFO  u.e.p.I.Service.ProfesorService - Profesor creado: ID: 14, Nombre: Oswaldo, a las Mon Oct 28 00:19:00 PET 2024
2024-10-28 00:20:01 WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Cannot coerce empty String ("") to `utp.edu.pe.Integrador_Backend.Entidades.Nivel` value (but could if coercion was enabled using `CoercionConfig`)]
2024-10-28 00:20:17 INFO  u.e.p.I.Service.ProfesorService - Creando profesor: Nicolas, Especialidad: Comunicacion, Nivel: PRIMARIA a las Mon Oct 28 00:20:17 PET 2024
2024-10-28 00:20:17 INFO  u.e.p.I.Service.ProfesorService - Profesor creado: ID: 15, Nombre: Nicolas, a las Mon Oct 28 00:20:17 PET 2024
2024-10-28 00:40:28 INFO  u.e.p.I.Service.AlumnoService - Alumno creado: Gonzalo, ID: 16, Fecha: Mon Oct 28 00:40:28 PET 2024
2024-10-28 00:42:21 WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.http.converter.HttpMessageNotReadableException: JSON parse error: Cannot deserialize value of type `utp.edu.pe.Integrador_Backend.Entidades.Nivel` from String "AMBOS": not one of the values accepted for Enum class: [SECUNDARIA, PRIMARIA]]
2024-10-28 00:42:25 INFO  u.e.p.I.Service.ProfesorService - Creando profesor: Ana, Especialidad: Comunicacion, Nivel: PRIMARIA a las Mon Oct 28 00:42:25 PET 2024
2024-10-28 00:42:25 INFO  u.e.p.I.Service.ProfesorService - Profesor creado: ID: 17, Nombre: Ana, a las Mon Oct 28 00:42:25 PET 2024
2024-10-28 01:27:41 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-10-28 01:27:41 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-10-28 01:27:41 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
